"Id","Prediction1","Prediction2","Prediction3","Prediction4","Prediction5","Prediction6","Prediction7","Prediction8","Prediction9"
"pbSF1dJL4ovWPqCGrzQH",0.138,0.502,0.15,0.04,0.026,0.042,0,0.04,0.062
"PBt2RaH8v6jiy1ZOmAbe",0.162,0.222,0.26,0.078,0.054,0.09,0.014,0.042,0.078
"pBtwAg8HePbExQjRvoS6",0.144,0.036,0.022,0.086,0.022,0.072,0.084,0.45,0.084
"pBU1KdmOuZ4laC27v3qJ",0.09,0.516,0.11,0.052,0.014,0.082,0.024,0.036,0.076
"pBWUGsLE9ugSQPtb08r6",0.094,0.03,0.016,0.332,0.05,0.142,0.122,0.126,0.088
"PBXwDYEkivtfa0zeLly1",0.162,0.134,0.444,0.054,0.036,0.034,0.016,0.04,0.08
"PbYEMDduQSkn1CwtO9NJ",0.348,0.196,0.108,0.07,0.022,0.098,0.024,0.054,0.08
"pC1JmquNzhOv72sL0PyZ",0.104,0.03,0.032,0.212,0.066,0.092,0.174,0.176,0.114
"PC3A4HVML5rhvijDNnTy",0.21,0.146,0.036,0.094,0.016,0.252,0.034,0.116,0.096
"PC4x9tpZMi2RBfkDzobs",0.232,0.406,0.158,0.01,0.004,0.05,0.01,0.042,0.088
"Pc7NvtSz4IVKkOqdTM8B",0.12,0.06,0.078,0.152,0.052,0.15,0.054,0.144,0.19
"Pc9gUF6CSWLZH2Q0aiRp",0.168,0.52,0.196,0.018,0.016,0.024,0,0.012,0.046
"PC9na6tVwi13MkgfxuhG",0.12,0.048,0.04,0.246,0.03,0.15,0.106,0.188,0.072
"pc9xUVPiC7ku2MtDbE0z",0.218,0.244,0.178,0.09,0.03,0.058,0.02,0.048,0.114
"pCaGWQIVYOxfRs7T16Kv",0.086,0.192,0.092,0.136,0.04,0.156,0.102,0.084,0.112
"pcbWlJ7sAvY4RoKUVd1Z",0.162,0.144,0.152,0.168,0.022,0.114,0.024,0.074,0.14
"pCD0xLHUKJQgkO58cNMe",0.11,0.238,0.136,0.098,0.016,0.186,0.036,0.104,0.076
"PcdDh4qv3IURntNlLHZj",0.132,0.066,0.032,0.31,0.046,0.114,0.07,0.13,0.1
"PCDlw0yjOYudAcW7TQNV",0.156,0.5,0.15,0.018,0.032,0.04,0.006,0.036,0.062
"PcDWq2Gf5YrOtBIb4AwF",0.118,0.568,0.174,0.022,0.018,0.036,0.014,0.014,0.036
"PCFO4XkSiosYncGeI5gl",0.096,0.282,0.418,0.04,0.026,0.026,0.016,0.026,0.07
"pch9NxBuVlJPsdQaZ3vj",0.152,0.506,0.156,0.014,0.022,0.04,0.01,0.024,0.076
"PCHGaUcEiLyozTg6NVZI",0.236,0.182,0.064,0.112,0.03,0.134,0.032,0.078,0.132
"pcjiuSXzGCIVkmy8DHh0",0.262,0.32,0.098,0.048,0.01,0.054,0.014,0.07,0.124
"PCJsrtWxFSVqDy6ZbRk0",0.284,0.196,0.098,0.064,0.044,0.108,0.016,0.07,0.12
"PclT3d0M8LtnvjazhwxD",0.23,0.23,0.106,0.112,0.04,0.078,0.024,0.048,0.132
"PcnQIhtzovOY4U1NjZVL",0.114,0.094,0.068,0.15,0.04,0.072,0.098,0.152,0.212
"Pcojnkta3NGVwiMBdsIg",0.116,0.054,0.022,0.292,0.042,0.144,0.1,0.144,0.086
"PconDgKQd4AjqwMG13YU",0.134,0.132,0.438,0.058,0.046,0.056,0.02,0.04,0.076
"PcTLKq05RvledGyrmfpj",0.188,0.258,0.122,0.05,0.016,0.068,0.014,0.066,0.218
"pCVxRj6au73iTbtUhKDM",0.348,0.22,0.096,0.042,0.018,0.07,0.008,0.064,0.134
"PCwQ3ET7zcajSBqWUXZl",0.126,0.54,0.08,0.042,0.014,0.068,0.012,0.046,0.072
"PCXH5p8mvQsk6Le1bDxA",0.132,0.496,0.136,0.026,0.032,0.054,0.008,0.036,0.08
"pd0RzuCc9hVHDWrP4Sb5",0.318,0.28,0.162,0.022,0.01,0.062,0.01,0.056,0.08
"Pd2yRm67J1x8tQqbSWzn",0.27,0.114,0.112,0.074,0.03,0.174,0.032,0.056,0.138
"pD3cIXtgQy9smr0eh15U",0.162,0.102,0.09,0.242,0.086,0.082,0.04,0.1,0.096
"pd3qHYPBvtIxoiKs1a2R",0.138,0.178,0.402,0.048,0.062,0.044,0.016,0.048,0.064
"pd6DGAC7FvzLyMRsPeK5",0.112,0.14,0.424,0.072,0.05,0.056,0.042,0.038,0.066
"Pd6ekp4TNR7xviYwatnK",0.11,0.57,0.108,0.02,0.022,0.046,0.022,0.048,0.054
"Pd7jpWGyMgVYs601nFCN",0.23,0.194,0.32,0.038,0.048,0.032,0.02,0.036,0.082
"pD8gSae0jrU9LkZMGA6V",0.124,0.11,0.472,0.046,0.046,0.04,0.028,0.048,0.086
"pdaeCFytqQbM6N3smjTk",0.176,0.252,0.052,0.102,0.034,0.12,0.022,0.092,0.15
"pdcm146kDZyuv0PGigJI",0.118,0.084,0.078,0.144,0.034,0.108,0.11,0.156,0.168
"pdCXPZAQiYy6oSjwUzTh",0.158,0.1,0.502,0.044,0.046,0.036,0.036,0.022,0.056
"pdei02a9j1IBXomrhtfl",0.106,0.51,0.142,0.028,0.028,0.028,0.024,0.038,0.096
"PDEqeYHbKMWuoUXF0V9p",0.174,0.262,0.13,0.074,0.038,0.148,0.026,0.076,0.072
"PDfAo8piBn1gIYmLz0Fr",0.148,0.206,0.262,0.058,0.058,0.088,0.026,0.048,0.106
"PDFAxs6cW0opE3rmOhd9",0.182,0.44,0.166,0.022,0.008,0.06,0.006,0.026,0.09
"PDH9FaxJlpQRqNbfi5St",0.168,0.458,0.16,0.032,0.016,0.042,0.016,0.02,0.088
"PDhvcS6JI4Eezb7wYoam",0.226,0.242,0.132,0.036,0.016,0.084,0.008,0.098,0.158
"PDHvETi8w3N1m0Ox7aQb",0.056,0.628,0.134,0.024,0.016,0.068,0,0.044,0.03
"pDiCBzOGNb8w4hPo5rxt",0.14,0.166,0.426,0.04,0.032,0.028,0.032,0.04,0.096
"PDIcMzZ7wnLYu0lW64iq",0.122,0.578,0.136,0.022,0.018,0.026,0.01,0.03,0.058
"PdizwI90HtXlZT4DpSNk",0.14,0.052,0.07,0.136,0.032,0.16,0.122,0.186,0.102
"PDkKjVl8U4ZQbgWpv5Ma",0.278,0.304,0.134,0.028,0.004,0.07,0.012,0.064,0.106
"pdMeRnlFfV1x0mTHIgWS",0.206,0.058,0.088,0.142,0.024,0.102,0.056,0.174,0.15
"PDMik40EH2yxo6sn1lG3",0.102,0.534,0.144,0.042,0.012,0.054,0.008,0.038,0.066
"PDOcY1tXfkGbR5x48h2g",0.05,0.008,0.02,0.048,0.032,0.048,0.682,0.076,0.036
"PDQcE2aAGl5p1fNvYdnu",0.134,0.146,0.4,0.03,0.048,0.034,0.04,0.062,0.106
"PDQwZ2xE7m9LsFYr4AHW",0.214,0.098,0.09,0.11,0.042,0.116,0.02,0.156,0.154
"PdQxKR4hpkAyrXOMjH3c",0.164,0.166,0.372,0.058,0.058,0.028,0.022,0.026,0.106
"PDSAUXa2iqWEtpebQf75",0.16,0.162,0.386,0.068,0.052,0.046,0.024,0.038,0.064
"Pdsf5ohG9IQMxJX70q2n",0.158,0.25,0.112,0.102,0.02,0.176,0.004,0.076,0.102
"pDsMfikmL8xUyPEn31VR",0.332,0.24,0.138,0.022,0.024,0.076,0.016,0.05,0.102
"pdSW67jygPwRZTCYJmbr",0.074,0.03,0.01,0.088,0.03,0.06,0.048,0.594,0.066
"pDUuSkJv0mNeh3j1MZIG",0.176,0.072,0.076,0.12,0.038,0.164,0.068,0.102,0.184
"pdvVBLQ9eGO4rj6gkyHF",0.252,0.254,0.124,0.09,0.032,0.088,0.03,0.064,0.066
"pDxIC57cZs3wfgm2AWE6",0.154,0.048,0.06,0.144,0.048,0.124,0.106,0.15,0.166
"pDYiOLQmAWUeRI6E5rBg",0.186,0.18,0.268,0.052,0.056,0.082,0.032,0.062,0.082
"pE32PM7rAZBh5gxadcVD",0.124,0.18,0.432,0.042,0.042,0.056,0.014,0.052,0.058
"pe8H4sIErkRVfaFqXb6o",0.248,0.276,0.112,0.048,0.024,0.084,0.06,0.062,0.086
"pEAiOCwIBFRg85P9Wzfq",0.114,0.414,0.138,0.054,0.018,0.092,0.028,0.07,0.072
"pEAoOWT6tzxu4J7bhQmM",0.164,0.038,0.056,0.186,0.046,0.124,0.104,0.148,0.134
"pEBI4ACexyqojYQ9aSOd",0.104,0.03,0.01,0.08,0.024,0.074,0.062,0.526,0.09
"PecNHpSwAzl60KoJy5BZ",0.188,0.31,0.088,0.118,0.036,0.074,0.02,0.086,0.08
"PecqiFEN1C4X98aTmSYn",0.154,0.094,0.106,0.166,0.064,0.12,0.054,0.124,0.118
"pEcYqsZalioBGLTy15Sm",0.12,0.23,0.134,0.116,0.022,0.142,0.042,0.09,0.104
"PefTX0KOHijl72qAsLbU",0.116,0.532,0.186,0.028,0.012,0.038,0.002,0.012,0.074
"pEg87OjRulDGJCBxsLfd",0.246,0.414,0.122,0.018,0.008,0.082,0.022,0.026,0.062
"pejrPSNavMxI2c8X3h9W",0.074,0.038,0.034,0.23,0.058,0.148,0.152,0.188,0.078
"pEMgGSCfxanbZq1WyjNU",0.134,0.16,0.058,0.092,0.024,0.158,0.07,0.154,0.15
"pEml1FA5aNWOXGKtg7s2",0.248,0.208,0.134,0.056,0.01,0.12,0.02,0.06,0.144
"PeoA1KVzN8JtCBwinHx7",0.168,0.49,0.156,0.02,0.014,0.05,0.016,0.016,0.07
"PeRuwtK824zMnZD6mSNf",0.144,0.206,0.262,0.084,0.05,0.062,0.022,0.054,0.116
"pes7ArOVYl1FJt3nIETh",0.1,0.514,0.182,0.02,0.03,0.05,0.004,0.036,0.064
"PETX0pgrbx5iCSoWvQ6I",0.234,0.166,0.118,0.07,0.024,0.092,0.042,0.064,0.19
"Pexn3NHfaSyqGd8kY7Dv",0.258,0.246,0.15,0.012,0.022,0.086,0.01,0.068,0.148
"pEZsKWxf5Dt2T9YPAOzr",0.084,0.538,0.212,0.024,0.022,0.032,0.012,0.026,0.05
"Pf6DoHh0BkJUpvc9ASxN",0.266,0.246,0.156,0.03,0.008,0.112,0.012,0.014,0.156
"Pf9ZEmQjh5NlVOK4wubB",0.15,0.148,0.042,0.136,0.07,0.172,0.078,0.104,0.1
"PfBCkFgraWJyHYI2ERbh",0.16,0.244,0.378,0.03,0.044,0.03,0.02,0.036,0.058
"PfBWK49gy5Gc2uvIdo1X",0.076,0.042,0.012,0.092,0.026,0.082,0.064,0.536,0.07
"PfcXSMHDLv2FW1VB3TnU",0.16,0.268,0.15,0.074,0.022,0.144,0.03,0.042,0.11
"pFdobuDjPgnHJhXSeU6i",0.058,0.02,0.012,0.238,0.04,0.136,0.174,0.23,0.092
"Pfez8621ry9TUGVCxbQL",0.242,0.292,0.09,0.026,0.016,0.068,0.01,0.082,0.174
"pFGB5oiMTYsLtrOAcJ6h",0.268,0.072,0.094,0.152,0.03,0.124,0.042,0.064,0.154
"PfgBJHj68sD4rCVxcpuZ",0.132,0.488,0.14,0.06,0.022,0.056,0.008,0.02,0.074
"PFLZR7DfVgNSizxA3mdu",0.138,0.036,0.018,0.104,0.022,0.084,0.064,0.452,0.082
"pFm6qSOXjKDhdyN3IZYf",0.264,0.18,0.158,0.082,0.014,0.084,0.024,0.048,0.146
"PFq4gISocQK0JO3iy1rw",0.256,0.168,0.104,0.11,0.04,0.09,0.016,0.076,0.14
"PfQTIBOaHC1iAxgLUJhW",0.196,0.162,0.36,0.034,0.042,0.062,0.042,0.054,0.048
"pfqZhMUuJyczmIHVd9rk",0.2,0.272,0.122,0.04,0.01,0.15,0.022,0.09,0.094
"pFRgjfhTBtrO6Cs1AJ9q",0.24,0.272,0.134,0.038,0.018,0.058,0.012,0.062,0.166
"pFuP90gMTQ1VayNxWArB",0.134,0.148,0.37,0.062,0.058,0.04,0.046,0.054,0.088
"pFXDBSLo7qZJ8KzmACHT",0.164,0.048,0.068,0.158,0.028,0.156,0.064,0.126,0.188
"pFXydrOMGZ9qtDiU1BI6",0.39,0.112,0.054,0.096,0.034,0.094,0.03,0.076,0.114
"pg0R6rzulyJKGvFoZLsH",0.104,0.156,0.452,0.054,0.026,0.026,0.03,0.028,0.124
"pg25XaQA9BckSYFxltKy",0.124,0.028,0.012,0.126,0.032,0.056,0.058,0.464,0.1
"PG34JDk9nVFR8ie0YQt5",0.106,0.084,0.578,0.064,0.034,0.05,0.03,0.028,0.026
"Pg4GmMLNeuRqsoQAwpVC",0.058,0.012,0.022,0.136,0.056,0.048,0.502,0.11,0.056
"Pg7HJvl5MpDZCXxu69Er",0.27,0.388,0.142,0.018,0.012,0.046,0.016,0.018,0.09
"pga7LTHQ8nBqPer56SGw",0.152,0.114,0.062,0.11,0.038,0.134,0.058,0.136,0.196
"PgDZ6RSfNJCrpaLTnVj2",0.142,0.21,0.376,0.054,0.034,0.04,0.02,0.05,0.074
"pGfaFIDBEy0MKHiCvOcl",0.114,0.168,0.47,0.046,0.046,0.048,0.022,0.034,0.052
"pgHdY2CZBQxMfqJiUzyh",0.12,0.558,0.14,0.014,0.03,0.044,0.004,0.024,0.066
"PGi3FDuHwMJt1NzsUYbA",0.194,0.164,0.382,0.034,0.05,0.048,0.024,0.034,0.07
"PGjLaBn987Zft2UqO1kc",0.104,0.034,0.022,0.104,0.036,0.07,0.104,0.412,0.114
"PGjsFLgWSN1BZqrimka2",0.136,0.568,0.106,0.024,0.008,0.064,0.004,0.022,0.068
"PGJTCkra68AlOyYiF3uh",0.128,0.19,0.282,0.044,0.05,0.086,0.042,0.106,0.072
"pGKAQhgxm74iFZsMeW1V",0.172,0.118,0.094,0.236,0.044,0.104,0.03,0.134,0.068
"PgMEHvjBG17febOzxXos",0.194,0.182,0.13,0.038,0.026,0.116,0.024,0.1,0.19
"PGUFYkh4rXIcRNsqO0pl",0.136,0.192,0.406,0.064,0.036,0.046,0.018,0.048,0.054
"pGvR6aKoXMIT8cC4Fkqu",0.188,0.224,0.118,0.08,0.016,0.132,0.02,0.074,0.148
"PgWATt5hYs19vIGldcxB",0.132,0.026,0.028,0.296,0.058,0.102,0.102,0.16,0.096
"PgYawy9qzFtZc68rHGMk",0.1,0.062,0.036,0.278,0.064,0.106,0.09,0.154,0.11
"PGZc3jbNuvBDF9eaVMio",0.134,0.504,0.132,0.04,0.03,0.05,0.004,0.032,0.074
"pH1O6GhfFS49qYADZeiL",0.116,0.142,0.42,0.068,0.05,0.034,0.018,0.058,0.094
"PH2pvVuYCsj1xwihT5oE",0.116,0.086,0.092,0.168,0.05,0.144,0.054,0.17,0.12
"PH60YXuWGylOFLrh3ekf",0.076,0.046,0.016,0.202,0.048,0.102,0.22,0.184,0.106
"PHa0hojvLyDYkgMeXOBV",0.244,0.156,0.1,0.1,0.03,0.086,0.026,0.074,0.184
"phcj2C69SPIFeLV0bZak",0.132,0.018,0.022,0.11,0.042,0.1,0.082,0.414,0.08
"phcsWwxMDYJCgH0GKlyZ",0.06,0.032,0.012,0.082,0.034,0.072,0.066,0.586,0.056
"PHczVIk9RSQXOKb2qf1m",0.13,0.152,0.46,0.068,0.042,0.03,0.022,0.028,0.068
"PhdeDoWZ9XV3na48byI2",0.122,0.516,0.138,0.034,0.032,0.058,0.012,0.028,0.06
"pHdNGPSVzQJg2Ry9LeT0",0.126,0.172,0.412,0.054,0.048,0.05,0.022,0.04,0.076
"phF4i9Vm76jqKzbPeCsQ",0.158,0.098,0.072,0.126,0.028,0.134,0.048,0.106,0.23
"PhFrCJMfEpHQ53t2xXUu",0.148,0.054,0.038,0.23,0.034,0.128,0.096,0.15,0.122
"PHiaxTvk9cDGoprb0M1Q",0.122,0.022,0.048,0.32,0.06,0.108,0.094,0.128,0.098
"pHIMm5fsWLOkFDRnZTjG",0.14,0.166,0.442,0.046,0.04,0.058,0.028,0.038,0.042
"PhK8pONCsDo601kWXzuH",0.136,0.196,0.366,0.05,0.046,0.068,0.032,0.042,0.064
"pHmBjCN7oZwv6WrDquy9",0.122,0.126,0.592,0.028,0.028,0.03,0.022,0.016,0.036
"Phmq0vQreFdDNJYHTLBZ",0.308,0.18,0.088,0.072,0.024,0.094,0.046,0.098,0.09
"pHOb97SYBT2axtU4FsRC",0.146,0.124,0.434,0.058,0.07,0.05,0.012,0.046,0.06
"pHQ9AznexKPgoIiFc70f",0.074,0.032,0.02,0.078,0.026,0.058,0.05,0.584,0.078
"PHQlq51jrCZtYWJvkN79",0.098,0.098,0.566,0.07,0.034,0.05,0.034,0.018,0.032
"pHR9Dragx4dcbtXKzG2f",0.124,0.1,0.09,0.128,0.02,0.208,0.086,0.084,0.16
"pHsOkURKnZtVfSMwoDYl",0.094,0.478,0.124,0.048,0.014,0.092,0.006,0.068,0.076
"PhT9e7AcvyYxbk0uJBMX",0.194,0.118,0.064,0.134,0.044,0.12,0.032,0.114,0.18
"phtLq821xUGiIOoEBlwQ",0.148,0.224,0.264,0.08,0.056,0.098,0.012,0.048,0.07
"pHtRJQZocCwGTgaI2b0z",0.092,0.606,0.112,0.026,0.02,0.066,0.004,0.036,0.038
"pHVU2SRwf3nvdLezaPkx",0.206,0.168,0.096,0.062,0.026,0.134,0.028,0.058,0.222
"pHwJ8eUN1ZqCFf74mME2",0.042,0.004,0.02,0.064,0.036,0.048,0.682,0.07,0.034
"PHx9CJ4l0gF8B2MWnN7o",0.282,0.18,0.116,0.07,0.016,0.09,0.022,0.116,0.108
"phYRtwKWrIQx8q4bd6lm",0.11,0.554,0.17,0.018,0.022,0.044,0.014,0.022,0.046
"pHYZTOM5dwiIFenVxR2D",0.078,0.026,0.016,0.108,0.028,0.088,0.08,0.508,0.068
"pI0SYTnUg3aC1DmZrxv8",0.138,0.452,0.2,0.024,0.024,0.056,0.006,0.028,0.072
"Pi2naCm4MYxvwT8DotbV",0.072,0.018,0.028,0.154,0.032,0.062,0.468,0.128,0.038
"pI4rvfO1RaeBMLTFxb3y",0.052,0.002,0.02,0.102,0.022,0.058,0.58,0.128,0.036
"PI59qhVJHcmFbBu1enLz",0.206,0.16,0.332,0.046,0.026,0.07,0.032,0.052,0.076
"piaC0F5ewntQvY742qKO",0.212,0.066,0.062,0.196,0.026,0.224,0.052,0.072,0.09
"pid4Bm2I3axeV5syncOh",0.158,0.528,0.144,0.02,0.008,0.036,0.02,0.012,0.074
"pie7nvP6UXyWDJTw1Vfl",0.15,0.214,0.404,0.022,0.046,0.04,0.016,0.022,0.086
"piEg4tXMZlhzNa10TVsL",0.198,0.188,0.31,0.062,0.03,0.062,0.014,0.036,0.1
"piFHJuWyE5rvT2UkP0AO",0.174,0.162,0.158,0.084,0.048,0.106,0.03,0.068,0.17
"PihG9U5q4Lu3aAgsHCOX",0.136,0.482,0.148,0.024,0.03,0.042,0.018,0.056,0.064
"PiJI1k9tv4mcFAY3rBbj",0.264,0.22,0.12,0.046,0.026,0.138,0.018,0.042,0.126
"pIKFr1lzCi0BxdM4fOnJ",0.34,0.212,0.136,0.032,0.006,0.09,0.026,0.044,0.114
"pIlo5rqEAuT3hkUdvOVb",0.146,0.186,0.396,0.062,0.034,0.046,0.016,0.048,0.066
"Pim8NrDAeFpZWELxG6vT",0.122,0.028,0.016,0.16,0.04,0.102,0.074,0.356,0.102
"PInoLO13gipC6kZB4yEz",0.222,0.262,0.134,0.042,0.016,0.094,0.006,0.038,0.186
"pISaDPyAf5G2gtTnHdX9",0.27,0.178,0.132,0.062,0.008,0.084,0.028,0.054,0.184
"pIxhXwrgfsvK1CeU5cT3",0.098,0.04,0.028,0.266,0.062,0.072,0.106,0.188,0.14
"pixzP3OQvMrbGs6Tcl82",0.038,0.008,0.016,0.174,0.038,0.062,0.532,0.092,0.04
"piYeZfOcdjU9RDnEHAqg",0.13,0.17,0.354,0.082,0.07,0.056,0.032,0.042,0.064
"Pj0YW6d5HD9K8pTliVIs",0.112,0.028,0.042,0.214,0.048,0.138,0.146,0.172,0.1
"pj5XcifUtYQdouek7IlS",0.214,0.212,0.1,0.06,0.03,0.146,0.014,0.096,0.128
"Pj8eF539pATc4kUfxwtW",0.128,0.198,0.444,0.024,0.03,0.064,0.028,0.032,0.052
"PjCGh1RmcD8QIfsxTniW",0.14,0.136,0.436,0.034,0.04,0.052,0.03,0.064,0.068
"pjCZaASoxqQJgYNFMBkz",0.268,0.286,0.106,0.038,0.006,0.106,0.036,0.058,0.096
"PjgaAhyOHD4cmtdbrR1E",0.072,0.034,0.008,0.098,0.028,0.058,0.044,0.58,0.078
"PjgkWFJExU1BiqNYC2hz",0.29,0.09,0.092,0.094,0.014,0.142,0.06,0.094,0.124
"PJklE4yK9xjZms1ARHtW",0.078,0.014,0.022,0.07,0.022,0.042,0.546,0.122,0.084
"pjKn0GNmh5u8TJcBbWdQ",0.068,0.028,0.014,0.072,0.024,0.05,0.074,0.6,0.07
"PjMlf0rg68zdkmp2LxvC",0.212,0.084,0.084,0.078,0.042,0.186,0.048,0.102,0.164
"pJnhxArv1G4Cl39wfFPe",0.118,0.51,0.12,0.024,0.032,0.028,0.014,0.062,0.092
"pJQgrOkbdKPhnCGoL9B1",0.09,0.026,0.032,0.098,0.04,0.118,0.062,0.478,0.056
"pjS910LqOD6EzvPFUcRn",0.114,0.038,0.03,0.23,0.036,0.124,0.15,0.156,0.122
"pjtUvskqZylzGKYEuCRo",0.158,0.056,0.084,0.162,0.04,0.14,0.096,0.106,0.158
"pjW2SPiJeRmXHaQVsZlk",0.106,0.038,0.02,0.12,0.042,0.072,0.072,0.44,0.09
"pJxSdioQHjFCleXUEhk6",0.25,0.148,0.054,0.068,0.028,0.092,0.032,0.16,0.168
"pJY1zhS3tK9OwZcBF4Mn",0.116,0.62,0.128,0.018,0.01,0.03,0.002,0.028,0.048
"PjyeC6U9cqVGbE8Ww1Jx",0.28,0.116,0.104,0.08,0.03,0.12,0.03,0.07,0.17
"PjzBKeid6orOvkYZ53E7",0.208,0.408,0.136,0.036,0.016,0.052,0.01,0.044,0.09
"PJzfOpDABmnIwou6Ykct",0.176,0.054,0.046,0.12,0.036,0.1,0.074,0.282,0.112
"PJzTbqxCQEe65g8dA7OS",0.196,0.092,0.04,0.144,0.03,0.162,0.088,0.104,0.144
"PK0WSQcLkJFm1Y5Tngt3",0.21,0.154,0.112,0.1,0.026,0.124,0.028,0.07,0.176
"pK3w5sGPBivHfCoy8zdN",0.094,0.502,0.134,0.034,0.02,0.09,0.008,0.04,0.078
"pk4AWzrZNgxCStBHDMYm",0.118,0.028,0.042,0.102,0.04,0.102,0.092,0.364,0.112
"Pk4QUNxpXmwJ6dYjBTb8",0.132,0.516,0.164,0.028,0.022,0.054,0.002,0.022,0.06
"pK6XUht7xvPTH4yRrOul",0.092,0.038,0.014,0.076,0.024,0.054,0.056,0.558,0.088
"pkBTqMabRLwYltIJAOj0",0.144,0.172,0.376,0.058,0.06,0.058,0.016,0.038,0.078
"PKCxrBWftJFZS0i8vXbR",0.112,0.028,0.016,0.102,0.048,0.106,0.058,0.426,0.104
"pKdSF3Uvm1oeGrRtwN87",0.232,0.178,0.11,0.106,0.034,0.128,0.032,0.09,0.09
"pKEnN1c3iLhzkZDTQM2H",0.142,0.546,0.17,0.02,0.012,0.03,0.012,0.026,0.042
"PkEtZsoeOpKSdfmwMCX0",0.184,0.036,0.028,0.134,0.038,0.062,0.08,0.294,0.144
"pKGdEW2rbTsaA5thB6vi",0.202,0.274,0.158,0.018,0.018,0.1,0.024,0.06,0.146
"PKidgryNZXCTHILuV9hn",0.202,0.08,0.06,0.1,0.036,0.15,0.058,0.144,0.17
"PKjbBWHefRXhUnq605Vm",0.144,0.51,0.168,0.016,0.016,0.048,0.004,0.036,0.058
"PkjbvMoelap2wiJNgBq5",0.184,0.136,0.42,0.04,0.056,0.044,0.034,0.038,0.048
"PKkycCEVMtX3Nl510wF7",0.136,0.134,0.45,0.07,0.034,0.044,0.02,0.038,0.074
"pKLbF672IdN53GhniOAX",0.122,0.112,0.55,0.032,0.04,0.05,0.03,0.04,0.024
"pklfn2Y3xDqvOZmEjWc7",0.3,0.18,0.144,0.046,0.008,0.104,0.024,0.036,0.158
"pkmEYhF7euLrzT9KZbRa",0.166,0.212,0.264,0.068,0.05,0.108,0.026,0.044,0.062
"PkNlWdGI9egq7t5MTmEy",0.138,0.172,0.092,0.196,0.054,0.09,0.078,0.08,0.1
"pkQOXMJ7UtPuWETcHn0Z",0.11,0.032,0.02,0.096,0.028,0.048,0.044,0.562,0.06
"pKREk0DyVf1TGI3lXtvs",0.134,0.418,0.15,0.042,0.024,0.07,0.02,0.032,0.11
"pkRmHYOWo2JMA9j74Pbs",0.238,0.128,0.098,0.17,0.036,0.082,0.062,0.052,0.134
"pkuEAYxfLqKh3z1V4Xey",0.06,0.006,0.018,0.084,0.014,0.056,0.626,0.098,0.038
"PkuY6vJGfIhObnDUWiw2",0.114,0.134,0.432,0.048,0.03,0.066,0.044,0.03,0.102
"PKW7E4dAFXZoMaCJzibQ",0.12,0.142,0.424,0.064,0.038,0.074,0.014,0.068,0.056
"PkW9Std3VAgEJ4N1CZfU",0.152,0.134,0.42,0.048,0.04,0.046,0.024,0.042,0.094
"pkwTzc6l3PiJuKWvae2B",0.272,0.154,0.092,0.11,0.02,0.126,0.024,0.102,0.1
"PkXDfUcCHSAsVRKzZmiI",0.172,0.222,0.112,0.108,0.01,0.14,0.04,0.084,0.112
"pkxQAaghMRIKfO2tn0UC",0.114,0.178,0.372,0.054,0.05,0.048,0.032,0.054,0.098
"PKXTnWy3jOepdYNkgA1s",0.098,0.606,0.112,0.03,0.024,0.044,0.01,0.038,0.038
"Pkz4W09r2aUjlO6p8Quv",0.188,0.128,0.432,0.046,0.05,0.056,0.024,0.034,0.042
"PL346dFz9AOv2leC8tVB",0.112,0.024,0.04,0.142,0.032,0.116,0.072,0.344,0.118
"pLaN0Tv694SJwhldYHVE",0.116,0.2,0.426,0.048,0.058,0.038,0.022,0.026,0.066
"PlgQNt953vp18ujGBWK6",0.122,0.05,0.046,0.294,0.09,0.088,0.104,0.114,0.092
"Plhv1M6WCcsVQEgUauOb",0.344,0.214,0.102,0.05,0.016,0.078,0.004,0.036,0.156
"PlQ05RdFj6isJIwDMaBS",0.148,0.156,0.434,0.046,0.054,0.056,0.028,0.018,0.06
"plqvRohk3sHQy8VZAaP6",0.074,0.012,0.022,0.196,0.046,0.072,0.34,0.176,0.062
"pLqXf1JRkgyBcjxhuVZG",0.134,0.198,0.394,0.048,0.046,0.044,0.012,0.04,0.084
"plsOxyif8wnvXUV2j1Gc",0.082,0.014,0.028,0.208,0.072,0.076,0.328,0.144,0.048
"pLtXECPkIav7dAs0mN6J",0.182,0.17,0.254,0.056,0.058,0.092,0.024,0.088,0.076
"pLvaJdZ6ncM2fzgFCTPl",0.184,0.212,0.116,0.144,0.044,0.12,0.016,0.046,0.118
"pLwfWbzxGRBVMnqkYsd1",0.142,0.528,0.162,0.008,0.014,0.054,0.008,0.022,0.062
"PlXSwv9foq1hZ0MTOta6",0.06,0.634,0.084,0.042,0.018,0.072,0.014,0.042,0.034
"pLXZQDgPFeOYchSautlM",0.098,0.024,0.018,0.238,0.048,0.086,0.186,0.224,0.078
"pLY05AFladXWQ9fDZnhb",0.058,0.012,0.012,0.252,0.054,0.078,0.384,0.102,0.048
"pLYjxhWRb9MQJiVyUFT6",0.192,0.338,0.106,0.064,0.014,0.088,0.02,0.06,0.118
"PlZYNbR0Qea8fuC3BDJx",0.23,0.428,0.152,0.024,0.008,0.05,0.008,0.012,0.088
"Pm18xn6Sz3Lio0s4GcWk",0.132,0.06,0.056,0.122,0.024,0.136,0.07,0.162,0.238
